clade_name	A10	A11	A13	A14	A16	A17	A18	A19	A1	A2	A3	A4	A5	A6	A7	A8	A9	DRR214959	DRR214960	DRR214961	DRR214962	DRR241310	SRR5892208	SRR5892209	SRR5892210	SRR5892211	SRR5892212	SRR5892213	SRR5892214	SRR5892215	SRR5892216	SRR5892217	SRS013942	SRS014468	SRS014692	SRS015055	SRS019120
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio|s__Thermovibrio_ammonificans	12	4	77	1	0	3	2	6	29	72	5	22	8	34	12	4	3	99	22	353	149	13	2	2	8	1	0	12	3	6	2	0	1	1	6	2	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium	22	7	17	9	12	8	9	4	46	43	3	28	13	42	3	16	12	379	82	637	49	4	9	26	44	18	2	9	28	22	51	14	1	5	8	14	5
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium|s__Desulfurobacterium_thermolithotrophum	22	7	17	9	12	8	9	4	46	43	3	28	13	42	3	16	12	379	82	637	49	4	9	26	44	18	2	9	28	22	51	14	1	5	8	14	5
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	65	46	126	47	41	24	37	21	357	240	77	129	144	356	9	43	52	1618	583	1494	469	147	36	54	116	69	4	44	107	141	132	17	20	14	57	52	39
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter	8	4	16	4	2	2	5	2	35	16	5	12	15	22	0	3	4	102	75	228	121	9	3	5	16	3	0	12	4	7	5	4	2	1	7	8	3
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter|s__Thermosulfidibacter_takaii	8	4	16	4	2	2	5	2	35	16	5	12	15	22	0	3	4	102	75	228	121	9	3	5	16	3	0	12	4	7	5	4	2	1	7	8	3
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae	26	18	59	19	15	16	22	12	134	117	17	59	75	166	6	10	29	625	137	360	158	36	25	25	57	47	0	14	70	80	73	7	10	8	12	19	22
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella	12	10	21	3	2	4	5	3	21	39	4	19	22	55	2	1	15	113	59	137	52	6	3	5	16	8	0	4	9	31	23	3	1	0	2	5	7
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella_marina	12	10	21	3	2	4	5	3	21	39	4	19	22	55	2	1	15	113	59	137	52	6	3	5	16	8	0	4	9	31	23	3	1	0	2	5	7
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium	14	8	38	16	13	12	17	9	113	78	13	40	53	111	4	9	14	512	78	223	106	30	22	20	41	39	0	10	61	49	50	4	9	8	10	14	15
